school_name,lat,lng,form_addy,actual_name
BUDLONG,41.9756156,-87.69689,"2701 W Foster Ave, Chicago, IL 60625, United States",Lyman A Budlong Public School
BURBANK,41.9177901,-87.78234379999999,"2035 N Mobile Ave, Chicago, IL 60639, United States",Burbank Elementary School
BURKE,41.79714200000001,-87.6166896,"5356 S King Dr, Chicago, IL 60615, United States",Burke Elementary School
BURLEY,41.9380755,-87.6694625,"1630 W Barry Ave, Chicago, IL 60657, United States",Augustus H. Burley Elementary School
BURNHAM,41.8575981,-87.7716351,"1630 S 59th Ave, Cicero, IL 60804, United States",Daniel Burnham Elementary School
BURNSIDE,41.728531,-87.6074158,"650 E 91st Pl, Chicago, IL 60619, United States",Burnside Academy
BURR,41.9122618,-87.66866739999999,"1621 W Wabansia Ave, Chicago, IL 60622, United States",Jonathan Burr Elementary School
BURROUGHS,41.8288622,-87.69267239999999,"3542 S Washtenaw Ave., Chicago, IL 60632, United States",Burroughs Elementary School
BYRNE,41.7948196,-87.79101759999999,"5329 S Oak Park Ave, Chicago, IL 60638, United States",Byrne Elementary School
CALDWELL,41.739237,-87.5811398,"8546 S Cregier Ave, Chicago, IL 60617, United States",Charles P Caldwell School
CALMECA,41.8250071,-87.7114323,"3456 W 38th St, Chicago, IL 60632, United States",Calmeca Academy
CAMERON,41.9039774,-87.717973,"1234 N Monticello Ave, Chicago, IL 60651, United States",Daniel R Cameron Public School
CAMRAS,41.9356466,-87.7704097,"3000 N Mango Ave, Chicago, IL 60634, United States",Marvin Camras Children's Engineering Elementary School
CANTY,41.9478772,-87.82961,"3740 N Panama Ave, Chicago, IL 60634, United States",Canty Elementary School
CARDENAS,41.8483569,-87.7158814,"2345 S Millard Ave, Chicago, IL 60623, United States",Lázaro Cardenas Elementary School
CARNEGIE,41.7836708,-87.5911031,"1414 E 61st Pl, Chicago, IL 60637, United States",Andrew Carnegie School
CARROLL,41.742209,-87.69682209999999,"2929 W 83rd St, Chicago, IL 60652, United States",Charles Carroll School
CARSON,41.7935946,-87.6884443,"5516 S Maplewood Ave, Chicago, IL 60629, United States",Carson Elementary School
CARTER,41.789758,-87.6235281,"5740 S Michigan Ave, Chicago, IL 60637, United States",Carter School
CARVER G,41.6530874,-87.6009862,"901 E 133rd Pl, Chicago, IL 60827, United States",George Washington Carver high School
CARVER MILITARY HS,41.6565704,-87.5897674,"13100 S Doty Ave, Chicago, IL 60827, United States",Carver Military Academy High School
CASALS,,,,
CASSELL,41.68733,-87.7037959,"11314 S Spaulding Ave, Chicago, IL 60655, United States",Cassell Elementary School
CATHER,41.8830811,-87.6992741,"2908 W Washington Blvd, Chicago, IL 60612, United States",Willa Cather Elementary School
CHALMERS,41.8663657,-87.6950871,"2745 W Roosevelt Rd, Chicago, IL 60608, United States",Chalmers Elementary School
CHAPPELL,41.9750589,-87.6833838,"2135 W Foster Ave, Chicago, IL 60625, United States",Eliza Chappell School
CHASE,41.9180784,-87.6945284,"2021 North Point St, Chicago, IL 60647, United States",Salmon P Chase Public School
CHAVEZ,41.8072737,-87.6657094,"4747 S Marshfield Ave, Chicago, IL 60609, United States",Cesar Chavez Multicultural Academic Center
CHICAGO ACADEMY ES,41.9429176,-87.77686059999999,"3400 N Austin Ave, Chicago, IL 60634, United States",Chicago Academy Elementary School
CHICAGO ACADEMY HS,41.94296689999999,-87.7769852,"3400 N Austin Ave, Chicago, IL 60634, United States",Chicago Academy High School
CHICAGO AGRICULTURE HS,41.690225,-87.71764650000001,"3857 W 111th St, Chicago, IL 60655, United States",Chicago High School for Agricultural Sciences
CHICAGO MILITARY HS,41.8303817,-87.6191728,"3519 S Giles Ave, Chicago, IL 60653, United States",Chicago Military Academy
CHICAGO VOCATIONAL HS,41.73772290000001,-87.5729254,"2100 E 87th St, Chicago, IL 60617, United States",Chicago Vocational High School
Chicago World Language Academy,41.8358459,-87.73558799999999,"3120 S Kostner Ave, Chicago, IL 60623, United States",World Language Academy
CHOPIN,41.8967965,-87.6885788,"2450 W Rice St, Chicago, IL 60622, United States",Frederic Chopin Elementary School
CHRISTOPHER,41.8016788,-87.6857285,"5042 S Artesian Ave, Chicago, IL 60632, United States",Christopher Elementary School
CLAREMONT,41.7775717,-87.68133329999999,"2300 W 64th St, Chicago, IL 60636, United States",Claremont Academy
CLARK ES,41.8679826,-87.77033370000001,"1045 S Monitor Ave, Chicago, IL 60644, United States",G R Clark Elementary School
CLARK HS,36.1360325,-115.1976379,"4291 Pennwood Ave, Las Vegas, NV 89102, United States",Clark High School
CLAY,41.6546159,-87.5444337,"13231 S Burley Ave, Chicago, IL 60633, United States",Clay Elementary School
CLEMENTE HS,41.9026116,-87.6864154,"1147 N Western Ave, Chicago, IL 60622, United States",Roberto Clemente Community Academy
CLEVELAND,41.9517288,-87.7059848,"3121 W Byron St, Chicago, IL 60618, United States",Grover Cleveland Elementary School
CLINTON,41.9924651,-87.69870689999999,"6110 N Fairfield Ave, Chicago, IL 60659, United States",Clinton Elementary School
CLISSOLD,41.6934228,-87.67964289999999,"2350 W 110th Pl, Chicago, IL 60643, United States",Clissold Elementary School
COLEMON,41.6773743,-87.65703189999999,"1441 W 119th St, Chicago, IL 60643, United States",Johnnie Colemon Academy
COLES,41.7414614,-87.5657446,"8441 S Yates Blvd, Chicago, IL 60617, United States",Edward Coles School
COLLINS HS,41.8640759,-87.7011184,"1313 S Sacramento Dr, Chicago, IL 60623, United States",Collins Academy High School
COLUMBIA EXPLORERS,41.8109257,-87.70436579999999,"4520 S Kedzie Ave, Chicago, IL 60632, United States",Columbia Explorers Academy
COLUMBUS,41.8789149,-87.62124109999999,"280 S Columbus Dr, Chicago, IL 60603, United States",Columbus Drive Building
COOK,41.9077077,-87.6361398,"226 W Schiller St, Chicago, IL 60610, United States",Catherine Cook School
COONLEY,41.9554822,-87.6839294,"4046 N Leavitt St, Chicago, IL 60618, United States",John C. Coonley Elementary School
COOPER,41.8562196,-87.66722779999999,"1624 W 19th St, Chicago, IL 60608, United States",Peter Cooper Public School
CORKERY,41.8452219,-87.7322207,"2510 S Kildare Ave, Chicago, IL 60623, United States",Corkery Elementary School
CORLISS HS,41.7066424,-87.6027457,"821 E 103rd St, Chicago, IL 60628, United States",Corliss High School
COURTENAY,41.9621184,-87.66397479999999,"4420 N Beacon St, Chicago, IL 60640, United States",Mary E. Courtenay Language Arts Center
CRANE MEDICAL HS,41.8769747,-87.68322979999999,"2245 W Jackson Blvd, Chicago, IL 60612, United States",Richard T. Crane Medical Prep High School
CROWN,41.8526743,-87.7127019,"2128 S St Louis Ave, Chicago, IL 60623, United States",Crown Community Academy of Fine Arts
CUFFE,41.7424614,-87.65380119999999,"8324 S Racine Ave, Chicago, IL 60620, United States",CUFFE TECH ACADEMY
CULLEN,41.7002795,-87.6112976,"10650 S Eberhart Ave, Chicago, IL 60628, United States",Cullen School
CURIE HS,41.8022427,-87.72166999999999,"4959 S Archer Ave, Chicago, IL 60632, United States",Marie Sklodowska Curie Metropolitan High School
CURTIS,41.68584,-87.6220495,"32 E 115th St, Chicago, IL 60628, United States",Curtis Elementary School
DALEY,41.80248479999999,-87.672314,"5024 S Wolcott Ave, Chicago, IL 60609, United States",Richard J Daley Elementary Academy
DARWIN,41.9234844,-87.70474469999999,"3116 W Belden Ave, Chicago, IL 60647, United States",Charles R Darwin Public School
DAVIS M,41.7711072,-87.6665259,"6740 S Paulina St, Chicago, IL 60636, United States",Miles Davis Magnet Academy
DAVIS N,41.8220666,-87.7002341,"3014 W 39th Pl, Chicago, IL 60632, United States",Nathan S. Davis Elementary School
DAWES,41.7452303,-87.7178479,"3810 W 81st Pl, Chicago, IL 60652, United States",Dawes Elementary School
DE DIEGO,41.9052628,-87.6856775,"1313 N Claremont Ave, Chicago, IL 60622, United States",José de Diego Community Academy
DECATUR,42.0095453,-87.7049571,"7030 N Sacramento Ave, Chicago, IL 60645, United States",Decatur Classical School
DENEEN,41.7626988,-87.62371279999999,"7257 S State St, Chicago, IL 60619, United States",Deneen Elementary School
DEPRIEST,41.8778772,-87.7661146,"139 S Parkside Ave, Chicago, IL 60644, United States",Oscar Depriest Elementary School
DETT,41.8797097,-87.68045699999999,"2131 W Monroe St, Chicago, IL 60612, United States",Robert Nathaniel Dett Elementary School
DEVER,41.9425566,-87.81342389999999,"3436 N Osceola Ave, Chicago, IL 60634, United States",Dever Elementary School
DEVRY HS,41.9689193,-87.6765731,"1900 W Lawrence Ave, Chicago, IL 60640, United States",DeVry University Advantage Academy
DEWEY,41.796059,-87.64230750000002,"5415 S Union Ave, Chicago, IL 60609, United States",Dewey Elementary Academy of Fine Arts
DIRKSEN,41.9735343,-87.8415229,"8601 W Foster Ave, Chicago, IL 60656, United States",Everett Mckinley Dirksen Elementary School
DISNEY,41.9567548,-87.6470045,"4140 N Marine Dr, Chicago, IL 60613, United States",Walt Disney Magnet School
DISNEY II ES,41.9505183,-87.7302021,"3815 N Kedvale Ave, Chicago, IL 60641, United States",Disney II Magnet Elementary School
DISNEY II HS,41.95225,-87.72041329999999,"3900 N Lawndale Ave, Chicago, IL 60618, United States",Disney II Magnet School
DIXON,41.7433343,-87.6103488,"8306 S St Lawrence Ave, Chicago, IL 60619, United States",Dixon Elementary School
DOOLITTLE,41.8307118,-87.6121805,"535 E 35th St, Chicago, IL 60616, United States",Doolittle Elementary School
DORE,41.7743604,-87.80007239999999,"7134 W 65th St, Chicago, IL 60638, United States",John C. Dore Elementary School
DOUGLASS HS,41.8905698,-87.76733949999999,"543 N Waller Ave, Chicago, IL 60644, United States",Frederick Douglass Academy HS
DRAKE,41.8436561,-87.62871799999999,"2710 S Dearborn St, Chicago, IL 60616, United States",John B. Drake Elementary School
DRUMMOND,41.915782,-87.6742488,"1845 W Cortland St, Chicago, IL 60622, United States",Drummond Montessori Magnet School
DUBOIS,41.653971,-87.61423270000002,"330 E 133rd St, Chicago, IL 60827, United States",Dubois Elementary School
DULLES,41.7799311,-87.6167096,"6311 S Calumet Ave, Chicago, IL 60637, United States",John Foster Dulles School
DUNBAR HS,38.9075024,-77.01284679999999,"101 N St NW, Washington, DC 20001, United States",Dunbar High School
DUNNE,41.696434,-87.63990299999999,"10845 S Union Ave, Chicago, IL 60628, United States",Dunne Technology Academy
DURKIN PARK,41.73902229999999,-87.72925049999999,"8445 S Kolin Ave, Chicago, IL 60652, United States",Durkin Park Elementary School
DVORAK,41.8588558,-87.71562259999999,"3615 W 16th St, Chicago, IL 60623, United States",Dvorak School of Excellence
DYETT ARTS HS,41.8011405,-87.61163470000001,"555 E 51st St, Chicago, IL 60615, United States",Walter H. Dyett High School for the Arts
EARHART,41.726229,-87.5823278,"1710 E 93rd St, Chicago, IL 60617, United States",Amelia Earhart School
EARLE,41.7814456,-87.6758368,"2040 W 62nd St, Chicago, IL 60636, United States",Charles W Earle School
EBERHART,41.7745803,-87.70848889999999,"3400 W 65th Pl, Chicago, IL 60629, United States",Eberhart Elementary School
EBINGER,42.0045437,-87.8108384,"7350 W Pratt Ave, Chicago, IL 60631, United States",Ebinger Elementary School
EDGEBROOK,41.9997272,-87.7607268,"6525 N Hiawatha Ave, Chicago, IL 60646, United States",Edgebrook Public School
EDISON,41.81713570000001,-87.7864657,"4100 Scoville Ave, Stickney, IL 60402, United States",Edison Elementary School
EDISON PARK,41.9938971,-87.81408359999999,"6220 N Olcott Ave, Chicago, IL 60631, United States",Edison Park Elementary School
EDWARDS,41.8052858,-87.7255352,"4815 S Karlov Ave, Chicago, IL 60632, United States",Edwards Elementary School
ELLINGTON,41.8853794,-87.76658739999999,"243 N Parkside Ave, Chicago, IL 60644, United States",Edward K. Duke Ellington Elementary School
ENGLEWOOD STEM HS,41.7702519,-87.6368723,"6835 S Normal Blvd, Chicago, IL 60621, United States",Englewood STEM High School
ERICSON,41.8757508,-87.7161802,"3600 W 5th Ave, Chicago, IL 60624, United States",Leif Ericson Elementary Scholastic Academy
ESMOND,41.6893215,-87.66942259999999,"1865 W Montvale Ave, Chicago, IL 60643, United States",Esmond Elementary School
EVERETT,41.8317249,-87.6812719,"3419 S Bell Ave, Chicago, IL 60608, United States",Everett Elementary School
EVERGREEN,41.8287765,-87.66759429999999,"3537 S Paulina St, Chicago, IL 60609, United States",Evergreen Academy Middle School
EVERS,41.71564499999999,-87.63905729999999,"9801 S Lowe Ave, Chicago, IL 60628, United States",Medgar Evers Elementary School
FAIRFIELD,41.7808017,-87.6918182,"6201 S Fairfield Ave, Chicago, IL 60629, United States",Fairfield Elementary School
FALCONER,41.9356204,-87.7496802,"3020 N Lamon Ave, Chicago, IL 60641, United States",Laughlin Falconer School
FARADAY,41.87978390000001,-87.70827469999999,"3250 W Monroe St, Chicago, IL 60624, United States",Faraday Elementary School
FARNSWORTH,41.97986909999999,-87.7662907,"5414 N Linder Ave, Chicago, IL 60630, United States",James B Farnsworth Elementary School
FARRAGUT HS,35.8872267,-84.1598368,"11237 Kingston Pike, Knoxville, TN 37934, United States",Farragut High School
FENGER HS,41.6897069,-87.63784,"11220 S Wallace St, Chicago, IL 60628, United States",Christian Fenger Academy High School
FERNWOOD,41.7110948,-87.6403607,"10041 S Union Ave, Chicago, IL 60628, United States",Fernwood Elementary School
FIELD,41.8904151,-87.76649789999999,"535 N Parkside Ave, Chicago, IL 60644, United States",The Field School
FINKL,41.8491577,-87.68694219999999,"2332 S Western Ave, Chicago, IL 60608, United States",William F. Finkl Academy
FISKE,41.7854094,-87.609348,"6020 S Langley Ave, Chicago, IL 60637, United States",John Fiske Elementary School
FOREMAN HS,41.9396773,-87.7530506,"3235 N Leclaire Ave, Chicago, IL 60641, United States",Foreman College and Career Academy
FORT DEARBORN,41.729951,-87.6552445,"9025 S Throop St, Chicago, IL 60620, United States",Fort Dearborn Elementary School
FOSTER PARK,41.7387793,-87.6685522,"8530 S Wood St, Chicago, IL 60620, United States",Foster Park Elementary School
FRANKLIN,41.9060807,-87.6357594,"246 W Goethe St, Chicago, IL 60610, United States",Franklin School
FRAZIER PROSPECTIVE,41.8669223,-87.7261757,"4027 W Grenshaw St, Chicago, IL 60624, United States",FRAZIER PROSPECTIVE
FULLER,41.81806,-87.6123361,"4214 S St Lawrence Ave #2, Chicago, IL 60653, United States",Fuller Elementary School
FULTON,41.7971405,-87.6686699,"5300 S Hermitage Ave, Chicago, IL 60609, United States",Robert Fulton Elementary School
FUNSTON,41.9175426,-87.7173127,"3616 W Armitage Ave, Chicago, IL 60647, United States",Funston Elementary School
GAGE PARK HS,41.7911552,-87.6893578,"5630 S Rockwell St, Chicago, IL 60629, United States",Gage Park High School
GALE,42.0209968,-87.6712419,"1631 W Jonquil Terrace, Chicago, IL 60626, United States",Gale Community Academy
GALILEO,41.8709847,-87.65353010000001,"820 S Carpenter St, Chicago, IL 60607, United States",Galileo Scholastic Academy
GALLISTEL,41.7068942,-87.53518,"10347 S Ewing Ave, Chicago, IL 60617, United States",Matthew Gallistel Language Academy
GARVEY,41.7066006,-87.6475225,"10309 S Morgan St, Chicago, IL 60643, United States",Marcus Garvey Elementary School
GARVY,41.9762618,-87.7960181,"5225 N Oak Park Ave, Chicago, IL 60656, United States",John W. Garvy Elementary School
GARY,41.6007075,-87.3512913,"Gary Community School Corporation, Gary, IN, USA",Gary Community School Corporation
GILLESPIE,41.7252771,-87.6229438,"9301 S State St, Chicago, IL 60619, United States",Gillespie Elementary School
GOETHE,41.9227455,-87.69318919999999,"2236 N Rockwell St, Chicago, IL 60647, United States",Goethe Elementary School
GOODE HS,41.7539265,-87.7064547,"7651 S Homan Ave, Chicago, IL 60652, United States",Sarah E. Goode STEM Academy
GOUDY,41.9759439,-87.6579959,"5120 N Winthrop Ave, Chicago, IL 60640, United States",William C Goudy Public School
GRAHAM ES,41.813099,-87.64360119999999,"4436 S Union Ave, Chicago, IL 60609, United States",Alexander Graham Elementary School
GRAHAM HS,41.849413,-87.6247344,"2347 S Wabash Ave, Chicago, IL 60616, United States",Ray Graham Training Center High School
GRAY,41.9491949,-87.75724199999999,"3730 N Laramie Ave, Chicago, IL 60641, United States",William P. Gray Elementary School
GREELEY,41.9528951,-87.6508806,"832 W Sheridan Rd, Chicago, IL 60613, United States",Horace Greeley Elementary School
GREEN,41.9972605,-87.70534490000001,"Chicago, IL 60659, United States",Green Elementary School
GREENE,41.8297006,-87.671301,"3525 S Honore St, Chicago, IL 60609, United States",Nathanael Greene Elementary School
GREGORY,41.8706372,-87.7185789,"3715 W Polk St, Chicago, IL 60624, United States",Gregory Elementary School
GRESHAM,41.7387652,-87.6450423,"8524 S Green St, Chicago, IL 60620, United States",GRESHAM SCHOOL OF EXCELLENCE
GRIMES,41.7767153,-87.74563739999999,"4918 W 64th St, Chicago, IL 60638, United States",Robert L. Grimes Elementary School
GRISSOM,41.662616,-87.5533909,"12810 S Escanaba Ave, Chicago, IL 60633, United States",Virgil Grissom Elementary School
GUNSAULUS,41.8126085,-87.6996363,"4420 S Sacramento Ave, Chicago, IL 60632, United States",Gunsaulus Scholastic Academy
HAINES,41.8499038,-87.6337621,"247 W 23rd Pl, Chicago, IL 60616, United States",Haines Elementary School
HALE,41.7804521,-87.7770743,"6140 S Melvina Ave, Chicago, IL 60638, United States",Nathan Hale Elementary School
HALEY,41.6863606,-87.63337179999999,"11411 S Eggleston Ave, Chicago, IL 60628, United States",Alex Haley Academy Elementary School
HAMILTON,41.9454775,-87.6706494,"1650 W Cornelia Ave, Chicago, IL 60657, United States",Hamilton Elementary School
HAMLINE,41.8074287,-87.66109999999999,"4747 S Bishop St, Chicago, IL 60609, United States",Hamline Elementary School
HAMMOND,41.8525332,-87.6958882,"2819 W 21st Pl, Chicago, IL 60623, United States",Hammond Elementary School
HAMPTON,41.7536426,-87.7089884,"3434 W 77th St, Chicago, IL 60652, United States",Lionel Hampton Fine & Performing Arts School
HANCOCK HS,41.77526539999999,-87.7587924,"5437 W 64th Pl, Chicago, IL 60638, United States",John Hancock College Preparatory High School
HANSON PARK,41.923335,-87.76201610000001,"5411 W Fullerton Ave, Chicago, IL 60639, United States",Hanson Park Elementary School
HARLAN HS,41.7183438,-87.6209035,"9652 S Michigan Ave, Chicago, IL 60628, United States",Harlan High School
HARTE,41.7939105,-87.5868715,"1556 E 56th St, Chicago, IL 60637, United States",Bret Harte Elementary School
HARVARD,42.3770029,-71.11666009999999,"Cambridge, MA, United States",Harvard University
HAUGAN,41.9637402,-87.7235067,"4540 N Hamlin Ave, Chicago, IL 60625, United States",Helge A Haugan Public School
HAWTHORNE,41.9418973,-87.65765379999999,"3319 N Clifton Ave, Chicago, IL 60657, United States",Hawthorne Scholastic Academy
HAY,41.8994709,-87.7559465,"1018 N Laramie Ave, Chicago, IL 60651, United States",John Hay Community Academy
HAYT,41.9946092,-87.668722,"1518 W Granville Ave, Chicago, IL 60660, United States",Hayt Elementary School
HEALY,41.8393064,-87.6407584,"3040 S Parnell Ave, Chicago, IL 60616, United States",Robert Healy Elementary School
HEARST,41.80844889999999,-87.7460331,"4640 S Lamon Ave, Chicago, IL 60638, United States",Hearst Elementary School
HEDGES,41.8069727,-87.67329459999999,"4747 S Winchester Ave, Chicago, IL 60609, United States",James Hedges Fine & Performing Arts School
HEFFERAN,41.8786049,-87.7358931,"4409 W Wilcox St, Chicago, IL 60624, United States",Helen M. Hefferan Public School
HENDERSON,41.7910145,-87.67214200000001,"5650 S Wolcott Ave, Chicago, IL 60636, United States",Charles R. Henderson Elementary School
HENDRICKS,41.8158259,-87.6338758,"4316 S Princeton Ave, Chicago, IL 60609, United States",Thomas A Hendricks Community School
HENRY,41.9586518,-87.71565199999999,"4250 N St Louis Ave, Chicago, IL 60618, United States",Patrick Henry Elementary School
HERNANDEZ,41.7935907,-87.7116415,"3510 W 55th St, Chicago, IL 60632, United States",Irene C. Hernandez Middle School
HERZL,41.8620945,-87.7184367,"3711 W Douglas Blvd, Chicago, IL 60623, United States",Theodore Herzl Elementary School
HIBBARD,41.9705641,-87.7103739,"3244 W Ainslie St, Chicago, IL 60625, United States",Hibbard Elementary School
HIGGINS,41.6808757,-87.64739949999999,"11710 S Morgan St, Chicago, IL 60643, United States",Higgins Community Academy Elementary School
HIRSCH HS,41.7538334,-87.6018048,"7740 S Ingleside Ave, Chicago, IL 60619, United States",Emil G. Hirsch Metropolitan High School
HITCH,41.9843169,-87.7788228,"5625 N McVicker Ave, Chicago, IL 60646, United States",Hitch Elementary School
HOLDEN,41.8380798,-87.6543052,"1104 W 31st St, Chicago, IL 60608, United States",Holden Elementary School
HOLMES,41.8952501,-87.7971507,"508 N Kenilworth Ave, Oak Park, IL 60302, United States",Oliver Wendell Holmes Elementary School
HOWE,41.89354669999999,-87.7599539,"720 N Lorel Ave, Chicago, IL 60644, United States",Howe School of Excellence
HOYNE,41.7333648,-87.5680938,"8905 S Crandon Ave, Chicago, IL 60617, United States",Thomas Hoyne Elementary School
HUBBARD HS,41.7801987,-87.71864699999999,"6200 S Hamlin Ave, Chicago, IL 60629, United States",Hubbard High School
HUGHES C,41.8604841,-87.7312582,"4247 W 15th St, Chicago, IL 60623, United States",Charles Hughes Elementary School
HUGHES L,41.8604841,-87.7312582,"4247 W 15th St, Chicago, IL 60623, United States",Charles Hughes Elementary School
HURLEY,41.7664033,-87.7191981,"3849 W 69th Pl, Chicago, IL 60629, United States",Edward N. Hurley Elementary School
HYDE PARK HS,30.4081675,-97.73002799999999,"11400 MoPac Expy S, Austin, TX 78759, United States",Hyde Park High School
